,Unnamed: 0,EPISODE_ID,BEGIN_DATE,DURACION,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO,ACCIDENTES,ZONA
0,0,73398,2013-06-01 00:04:00,5.68333333333,2013-06-01 05:45:00,0.0,40.992865,3,-86.21423,0,158.38287559,0,0,3,0,13
1,1,65098,2012-06-29 15:06:00,0.966666666667,2012-06-29 16:04:00,0.0,39.61696,0,-84.96701,0,63.3899790808,0,0,3,0,12
2,2,4025,2007-05-15 13:50:00,3.85,2007-05-15 17:41:00,0.0,41.2634111111,0,-86.0300962963,0,127.099949792,0,1,3,0,13
3,3,22660,2008-09-08 21:04:00,4.96666666667,2008-09-09 02:02:00,1.75,39.5924571429,0,-86.4910142857,0,143.334580819,0,0,3,0,7
4,4,61456,2012-03-02 13:10:00,1.01666666667,2012-03-02 14:11:00,0.88,40.894,0,-85.51,0,65.2609658249,0,0,0,0,8
5,5,14290,2008-02-05 22:40:00,5.83333333333,2008-02-06 04:30:00,1.0,38.3153421053,3,-86.2416263158,0,88.7131331786,0,0,3,0,1
6,6,32836,2009-05-30 18:52:00,2.58333333333,2009-05-30 21:27:00,1.75,39.95952,0,-86.31621,0,124.865097599,0,0,3,0,9
7,7,75542,2013-06-27 16:25:00,4.51666666667,2013-06-27 20:56:00,2.0,40.9831578947,0,-85.6642105263,0,119.082157178,0,0,3,0,8
8,8,65279,2012-06-16 14:40:00,5.41666666667,2012-06-16 20:05:00,1.75,41.3526125,0,-87.3193875,0,29.1423563115,0,0,3,0,0
9,9,61195,2012-04-01 20:20:00,2.16666666667,2012-04-01 22:30:00,2.0,39.846628,0,-85.870148,0,75.8258985065,0,0,0,0,9
10,10,61190,2012-03-30 15:04:00,4.43333333333,2012-03-30 19:30:00,1.75,39.7632310345,2,-86.2203465517,0,211.698757343,0,0,3,1,9
11,11,25380,2008-12-25 20:00:00,39.5666666667,2008-12-27 11:34:00,0.0,39.00815,2,-85.88735,0,6.29761648842,0,0,0,0,11
12,12,3771,2007-03-25 16:30:00,49.1333333333,2007-03-27 17:38:00,0.0,38.9989,2,-85.9,0,3.21868,0,0,0,0,11
13,13,3770,2007-03-16 21:20:00,71.5666666667,2007-03-19 20:54:00,0.0,38.9989,2,-85.9,0,3.21868,0,0,0,0,11
14,14,32014,2009-06-11 15:18:00,1.65,2009-06-11 16:57:00,0.75,39.290125,0,-86.650825,0,150.61298796,0,0,3,0,7
15,15,1219870,2006-08-10 13:35:00,0.716666666667,2006-08-10 14:18:00,0.75,38.8875,0,-85.1825,0,28.7010032999,0,0,3,0,5
16,16,1201296,2005-11-15 03:05:00,6.41666666667,2005-11-15 09:30:00,0.0,38.2333333333,3,-86.11,0,59.9434378972,0,0,3,0,1
17,17,1201297,2005-11-15 18:30:00,2.0,2005-11-15 20:30:00,0.0,38.3588888889,0,-86.3911111111,0,71.8043880444,0,0,3,0,1
18,18,1201294,2005-11-06 04:25:00,1.08333333333,2005-11-06 05:30:00,0.0,38.3233333333,0,-86.05,0,67.3912094849,0,0,3,0,1
19,19,1201299,2005-11-28 12:10:00,0.833333333333,2005-11-28 13:00:00,0.0,38.485,0,-86.225,0,23.1181166033,0,0,3,0,1
20,20,1207821,2006-04-07 14:29:00,3.93333333333,2006-04-07 18:25:00,2.5,38.4564285714,0,-86.0878571429,0,100.206991325,0,0,3,0,1
21,21,1207826,2006-04-19 01:23:00,1.25,2006-04-19 02:38:00,1.0,38.3844444444,0,-86.4233333333,0,75.0143013881,0,0,0,0,1
22,22,43503,2010-07-15 13:14:00,6.76666666667,2010-07-15 20:00:00,0.0,39.8431125,1,-86.8091625,0,168.70768993,0,0,3,0,10
24,24,17032,2008-05-31 09:33:00,14.4333333333,2008-05-31 23:59:00,0.0,40.0021,2,-87.2122,0,78.414295499,0,0,0,0,10
25,25,62519,2012-03-15 12:10:00,1.81666666667,2012-03-15 13:59:00,1.0,38.4233333333,0,-87.3966666667,0,34.3144043041,0,0,0,0,3
26,26,52484,2011-06-05 09:00:00,0.866666666667,2011-06-05 09:52:00,1.0,38.06323,0,-87.55633,0,44.7878262995,0,0,3,0,3
27,27,1213159,2006-06-07 14:11:00,2.95,2006-06-07 17:08:00,0.75,39.2283333333,0,-85.0083333333,0,55.0037333715,0,0,3,0,5
28,28,75618,2013-05-27 16:35:00,4.91666666667,2013-05-27 21:30:00,0.0,40.2610833333,2,-85.8937666667,0,22.7666658688,0,0,3,0,2
29,29,65503,2012-06-28 18:20:00,1.7,2012-06-28 20:02:00,2.5,41.4207636364,0,-87.3222863636,0,45.0323843972,0,0,3,0,0
30,30,1213152,2006-06-28 15:25:00,6.7,2006-06-28 22:07:00,1.75,39.6224,0,-86.0392,0,154.777489912,0,0,3,0,9
31,31,1213151,2006-06-22 11:30:00,9.25,2006-06-22 20:45:00,1.0,39.7252941176,3,-86.5123529412,0,203.370488923,0,0,3,0,7
32,32,1213156,2006-06-01 14:20:00,4.45,2006-06-01 18:47:00,1.0,39.6633333333,0,-85.0133333333,0,81.2832900738,0,0,3,0,12
34,34,79810,2013-10-31 20:10:00,0.416666666667,2013-10-31 20:35:00,0.0,37.915,0,-87.235,0,22.8597339342,0,0,3,0,3
35,35,1191326,2005-06-07 14:00:00,0.5,2005-06-07 14:30:00,0.88,41.55,0,-87.035,0,13.6966304832,0,0,0,0,0
36,36,1191325,2005-06-05 13:50:00,1.16666666667,2005-06-05 15:00:00,0.0,41.0,0,-87.186,0,59.3243887819,0,0,3,0,14
37,37,53025,2011-05-14 17:01:00,20.9833333333,2011-05-15 14:00:00,0.0,40.7739666667,3,-85.5283166667,0,79.4219673807,0,0,0,0,8
38,38,87366,2014-06-18 12:56:00,14.5333333333,2014-06-19 03:28:00,0.0,41.3220096774,0,-85.6730806452,0,148.186699397,0,0,3,0,4
39,39,63111,2012-06-16 16:40:00,1.33333333333,2012-06-16 18:00:00,0.0,38.5387,1,-85.7462333333,0,3.17229412729,0,0,3,0,11
40,40,62463,2012-05-29 03:30:00,5.48333333333,2012-05-29 08:59:00,0.0,38.3771666667,3,-86.1127166667,0,74.105550414,0,0,3,0,1
41,41,9631,2007-09-26 06:30:00,1.0,2007-09-26 07:30:00,0.0,38.35,1,-87.57,0,1.32944756907,0,0,0,0,3
42,42,10389,2007-08-15 20:18:00,7.35,2007-08-16 03:39:00,1.75,40.9533369565,0,-86.0699413043,0,145.37938351,0,2,3,0,13
43,43,40987,2010-06-11 11:43:00,4.95,2010-06-11 16:40:00,0.0,39.0051875,3,-86.804,0,137.632896212,0,0,3,0,6
45,45,44646,2010-08-11 05:35:00,6.16666666667,2010-08-11 11:45:00,0.0,40.13864,1,-85.7431,0,121.799647082,0,0,3,1,2
46,46,44641,2010-08-13 19:20:00,2.41666666667,2010-08-13 21:45:00,0.0,39.8496,2,-86.01695,0,3.45329285762,0,0,0,0,9
47,47,28792,2009-05-30 22:54:00,0.85,2009-05-30 23:45:00,0.88,39.07,0,-85.38,0,1.71720520704,0,0,0,0,5
48,48,63593,2012-06-28 19:10:00,2.5,2012-06-28 21:40:00,1.0,40.9975214286,0,-86.3951785714,0,73.5716162084,0,0,3,0,13
49,49,16426,2008-05-30 16:44:00,31.25,2008-05-31 23:59:00,1.0,40.7736,3,-87.4193,0,77.5523617559,0,0,0,0,14
50,50,1203297,2006-01-02 12:59:00,2.68333333333,2006-01-02 15:40:00,1.75,38.3163636364,0,-86.4490909091,0,83.0106907976,0,0,3,0,1
51,51,1210774,2006-05-30 16:00:00,3.86666666667,2006-05-30 19:52:00,0.75,40.8527777778,0,-85.625,0,145.140921865,0,0,3,0,8
52,52,10099,2007-08-09 06:03:00,1.21666666667,2007-08-09 07:16:00,0.0,41.4633333333,0,-85.6,0,80.4991857092,0,0,3,0,4
53,53,1210772,2006-05-31 13:35:00,1.76666666667,2006-05-31 15:21:00,0.0,40.823,0,-86.343,0,138.453231069,0,1,3,0,13
54,54,1205573,2006-03-11 17:40:00,40.5,2006-03-13 10:10:00,0.0,38.43,2,-86.18,0,2.1328433314,0,0,0,0,1
55,55,1205572,2006-03-11 18:10:00,41.3333333333,2006-03-13 11:30:00,0.0,38.8,2,-85.65,0,2.1328433314,0,0,0,0,11
56,56,1205571,2006-03-09 23:10:00,16.0,2006-03-10 15:10:00,0.0,38.8,2,-85.65,0,2.1328433314,0,0,0,0,11
57,57,1215489,2006-07-20 05:00:00,5.66666666667,2006-07-20 10:40:00,0.0,41.5133333333,0,-87.28,0,29.95040774,0,0,1,0,0
58,58,26804,2009-02-11 08:00:00,16.1333333333,2009-02-12 00:08:00,0.0,39.6154833333,0,-86.5446,0,154.578295318,0,2,3,0,7
59,59,7675,2007-06-26 13:00:00,4.0,2007-06-26 17:00:00,0.0,41.07,3,-87.0404,0,3.24564042347,0,0,0,0,14
60,60,1215485,2006-07-27 17:11:00,1.31666666667,2006-07-27 18:30:00,0.0,41.53,2,-86.95,0,2.1328433314,0,0,3,0,0
61,61,37177,2010-04-07 18:00:00,0.6,2010-04-07 18:36:00,0.0,38.24,1,-87.59,0,52.0128019879,0,0,3,0,3
62,62,1208068,2006-04-07 13:15:00,4.03333333333,2006-04-07 17:17:00,2.0,39.5831707317,0,-86.3269512195,0,186.928585073,0,0,0,0,9
63,63,30529,2009-06-22 08:52:00,3.48333333333,2009-06-22 12:21:00,0.0,38.2766666667,0,-86.02,0,24.0291379258,0,0,3,0,1
64,64,40960,2010-06-21 08:01:00,15.1833333333,2010-06-21 23:12:00,0.88,39.81299,3,-86.5035766667,0,153.87823889,0,0,3,0,9
65,65,29814,2009-06-01 16:08:00,0.883333333333,2009-06-01 17:01:00,0.88,40.5,0,-87.45,0,10.0376409759,0,0,3,0,14
66,66,1177,2007-01-17 00:00:00,71.0,2007-01-19 23:00:00,0.0,38.77,2,-86.1742,0,6.43736,0,0,0,0,11
67,67,86185,2014-05-09 16:41:00,2.33333333333,2014-05-09 19:01:00,1.0,41.0314285714,0,-85.6257142857,0,74.5461779909,0,0,3,0,8
68,68,50093,2011-04-23 02:40:00,1.08333333333,2011-04-23 03:45:00,0.0,39.0683,3,-84.9407833333,0,14.1536306424,0,0,0,0,5
69,69,44295,2010-05-21 21:31:00,5.48333333333,2010-05-22 03:00:00,0.0,41.4015,3,-84.80735,0,25.6546695381,0,0,0,0,8
70,70,76152,2013-06-23 14:36:00,0.383333333333,2013-06-23 14:59:00,1.0,39.0367,0,-85.1591,0,13.2355523918,0,0,3,0,5
71,71,76158,2013-06-26 19:00:00,1.5,2013-06-26 20:30:00,0.0,39.091875,3,-85.017625,0,14.468544513,0,0,0,0,5
